,AvatarID,Total_days_actv,Actual_days_actv,Active_Ratio,Total_login,Level_l,Level_m,Level_h,Race_Orc,Race_Tauren,Race_Troll,Race_Undead,Class_Warrior,Class_Hunter,Class_Rogue,Class_Shaman,Class_Warlock,Class_Druid,Class_Mage,Class_Priest,Churn
206,15004,348,10,2.87356321839,139,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
207,15100,0,1,,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
208,15254,0,1,,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
209,15538,0,1,,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
210,15967,0,1,,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
211,16500,363,6,1.65289256198,106,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
212,16916,0,1,,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
213,17172,336,2,0.595238095238,72,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
214,17607,7,7,100.0,69,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
215,17688,1452,15,1.03305785124,279,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
216,18161,1,2,200.0,5,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
217,18201,0,1,,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
218,18218,1,2,200.0,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
219,18282,713,23,3.22580645161,370,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
220,18467,1,2,200.0,15,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
221,18479,0,1,,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
222,18595,20,18,90.0,257,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
223,18902,369,15,4.06504065041,404,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
224,18956,0,1,,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
225,19200,5,3,60.0,54,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
226,19206,0,1,,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
227,19325,742,8,1.0781671159,120,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
228,19351,0,1,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
229,19499,0,1,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
230,19614,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
231,19669,0,1,,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
232,19758,0,1,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
233,19873,2,2,100.0,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
234,19878,755,12,1.58940397351,90,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1
235,19886,1,2,200.0,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
236,19962,750,3,0.4,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
237,20268,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
238,20396,0,1,,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
239,20596,721,4,0.554785020804,15,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
240,20928,0,1,,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
241,21116,14,2,14.2857142857,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
242,21558,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
243,21598,349,8,2.29226361032,41,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
244,21715,1,2,200.0,13,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
245,21859,0,1,,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
246,22004,26,27,103.846153846,676,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
247,22021,26,23,88.4615384615,514,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
248,22188,26,27,103.846153846,904,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
249,22412,25,15,60.0,195,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
250,22555,26,26,100.0,378,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
251,22970,23,18,78.2608695652,296,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
252,22990,0,1,,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
253,23136,23,24,104.347826087,1398,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
254,23455,23,16,69.5652173913,162,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
255,23523,7,3,42.8571428571,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
256,23607,22,23,104.545454545,1627,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
257,23706,23,22,95.652173913,241,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
258,23709,22,11,50.0,71,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
259,23727,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
260,24355,1,2,200.0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
261,24728,0,1,,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
262,24873,11,2,18.1818181818,8,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
263,24985,0,1,,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
264,25227,7,7,100.0,174,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
265,25283,8,5,62.5,10,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
266,25895,0,1,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
267,31,3680,269,7.3097826087,10676,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
268,516,1097,19,1.73199635369,225,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
269,1139,742,45,6.06469002695,182,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
270,1143,24,9,37.5,76,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
271,1270,739,47,6.3599458728,1568,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
272,1303,18,15,83.3333333333,401,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
273,1322,3673,143,3.89327525184,3296,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
274,1339,1122,2,0.17825311943,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
275,1352,3,4,133.333333333,79,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
276,1618,3301,28,0.848227809755,177,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
277,1650,0,1,,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
278,1699,2937,30,1.02145045965,36,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
279,1903,0,1,,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
280,2393,0,1,,7,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
281,2572,732,30,4.09836065574,679,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
282,2711,746,5,0.670241286863,74,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
283,2776,3656,57,1.5590809628,202,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
284,2821,727,25,3.43878954608,137,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
285,2996,3281,29,0.883876866809,94,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
286,3000,3671,35,0.953418687006,140,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
